81,86,81,80,85,89,86,75,85,84,82,84,64,48,32,40,41,88,86,91,86,85,86,79,86,81,51,85
93,90,74,85,87,85,66,74,94,90,76,79,87,74,79,84,86,80,86,93,85,82,91,83,88,84,83,75
86,82,74,71,87,85,77,70,75,68,62,73,91,80,82,88,82,88,62,56,86,84,65,81,89,91,94,83
81,83,78,72,88,86,94,89,82,86,90,87,42,72,26,23,20,86,76,79,88,75,84,63,87,69,22,79
90,89,84,84,90,84,90,90,84,74,88,82,20,79,11,21,10,72,66,65,73,47,71,82,78,58,56,88
86,86,76,75,88,85,90,87,89,80,82,85,39,88,38,29,41,84,67,78,86,78,73,90,81,82,76,81
81,86,79,78,86,85,87,88,89,84,86,86,38,80,24,27,22,76,63,90,71,65,90,78,74,77,62,85
69,70,47,54,85,78,73,63,85,61,58,77,89,84,86,88,86,64,70,59,81,81,51,72,84,88,78,65
80,81,82,84,83,85,85,88,84,84,81,89,61,88,64,67,62,82,71,70,86,75,71,83,77,74,77,87
88,87,85,71,87,88,85,84,83,81,74,80,22,71,19,27,20,84,72,76,84,77,78,65,81,67,42,90
84,82,62,66,77,79,83,90,87,82,81,90,16,90,16,22,14,46,55,58,77,68,57,83,76,87,83,82
87,83,77,61,93,82,94,95,75,67,89,84,15,84,11,13,19,47,35,32,65,34,56,74,61,55,43,75
88,82,85,88,87,90,87,85,75,81,78,84,22,58,31,35,20,79,82,88,87,83,90,55,74,57,62,90
71,61,64,82,91,74,64,45,75,53,58,59,92,45,88,92,84,75,52,35,87,83,39,54,93,94,96,55
86,88,87,82,82,80,86,88,86,81,87,88,20,90,17,19,16,81,77,60,65,52,70,85,77,73,47,78
87,82,89,80,85,84,88,89,82,79,83,78,39,86,43,36,34,83,66,77,73,66,69,82,79,58,70,84
86,81,86,73,85,91,83,76,75,85,75,78,32,62,32,45,36,90,83,84,92,89,86,42,82,65,65,88
84,81,74,70,85,76,84,89,85,81,89,87,45,88,20,20,11,77,72,84,79,45,72,85,73,74,61,80
91,88,66,77,78,82,62,42,92,87,61,97,91,76,85,88,88,82,94,81,74,82,88,81,91,85,81,73
88,81,94,91,82,91,81,81,76,80,81,94,21,73,21,24,26,71,83,84,82,72,77,56,69,53,43,94
85,81,82,86,86,80,84,82,84,81,82,85,66,88,27,48,32,81,65,79,75,64,73,80,81,75,69,84
79,81,71,80,86,64,45,31,47,28,55,32,87,75,83,85,86,70,87,33,78,71,56,71,88,76,87,44
78,78,50,50,82,55,41,28,62,26,23,37,83,91,88,82,87,51,40,15,74,64,19,81,76,93,84,40
77,79,54,59,86,76,86,87,88,83,85,86,41,87,34,31,38,68,72,74,72,68,65,86,82,74,52,75
84,85,80,73,87,84,87,85,79,78,66,71,34,58,36,39,31,79,79,78,84,75,79,68,86,73,66,84
86,87,82,79,87,85,87,87,82,81,80,86,42,57,41,43,32,83,83,71,85,74,77,64,84,59,66,82
78,78,50,50,82,66,41,35,82,74,38,85,83,88,86,81,85,77,65,56,79,71,52,81,76,93,82,61
65,66,60,61,90,74,61,51,79,63,45,81,94,85,86,87,88,74,72,84,80,87,86,78,84,74,79,59
75,74,74,68,88,84,79,78,87,86,77,90,86,77,59,79,78,85,73,73,87,84,76,72,89,85,82,79
67,68,80,71,77,90,83,71,70,71,69,83,21,48,13,12,15,91,76,74,88,86,79,30,58,51,33,88
