Cannavaro,89,CB,73,65,39,91,57,81,69,77,81,82,89,67,36,27,55,49,39,54,88,90,93,93,86,46,52,34,67,61,63,93,74,87,71,57,2
Nedved,89,LM,83,87,83,46,85,80,85,82,81,78,86,88,85,77,87,91,80,83,25,51,48,54,55,85,84,83,88,82,81,73,90,73,87,88,11
Weah,89,ST,93,85,87,44,77,81,93,93,87,80,85,84,83,90,89,81,82,87,61,84,30,39,30,89,70,91,79,60,73,89,86,84,63,86,18
Hagi,89,CAM,84,85,85,42,88,66,84,84,81,74,85,88,85,83,83,88,84,91,44,55,34,46,41,88,90,92,88,88,86,77,83,60,55,86,12
Moore,89,CB,71,74,62,90,79,84,72,70,83,81,89,82,61,53,76,67,63,74,92,86,91,90,89,82,71,65,82,86,71,84,92,81,81,65,4
Lineker,89,ST,86,80,87,28,69,75,88,84,81,79,91,83,91,92,83,79,87,83,39,84,16,19,18,72,60,63,78,62,61,78,83,74,65,78,30
Laudrup,89,CAM,85,89,73,38,87,64,86,84,89,73,86,87,84,71,76,69,75,80,37,69,30,38,28,91,87,78,88,81,83,65,78,65,42,92,13
Blanc,89,CB,80,78,65,90,69,84,79,81,74,72,85,84,60,61,76,58,68,91,88,83,91,92,87,58,56,70,79,81,62,79,90,82,84,75,18
Keane,88,CM,71,78,71,86,81,90,69,72,72,77,88,84,78,62,81,81,66,70,89,75,84,90,82,82,67,71,89,85,68,79,92,89,95,75,8
Rui Costa,88,CAM,84,86,80,43,86,76,81,86,81,80,85,89,86,75,85,84,82,84,64,48,32,40,41,88,86,91,86,85,86,79,86,81,51,85,10
Roberto Carlos,88,LB,91,79,81,82,84,85,93,90,74,85,87,85,66,74,94,90,76,79,87,74,79,84,86,80,86,93,85,82,91,83,88,84,83,75,5
Vieira,88,CM,84,82,71,85,79,91,86,82,74,71,87,85,77,70,75,68,62,73,91,80,82,88,82,88,62,56,86,84,65,81,89,91,94,83,6
Litmanen,88,CAM,82,81,87,32,83,64,81,83,78,72,88,86,94,89,82,86,90,87,42,72,26,23,20,86,76,79,88,75,84,63,87,69,22,79,26
Owen,88,ST,89,86,85,22,67,64,90,89,84,84,90,84,90,90,84,74,88,82,20,79,11,21,10,72,66,65,73,47,71,82,78,58,56,88,19
Kluivert,88,ST,86,82,86,41,80,81,86,86,76,75,88,85,90,87,89,80,82,85,39,88,38,29,41,84,67,78,86,78,73,90,81,82,76,81,18
Shevchenko,88,ST,84,84,87,33,71,73,81,86,79,78,86,85,87,88,89,84,86,86,38,80,24,27,22,76,63,90,71,65,90,78,74,77,62,85,24
Rijkaard,88,CB,70,68,68,87,73,84,69,70,47,54,85,78,73,63,85,61,58,77,89,84,86,88,86,64,70,59,81,81,51,72,84,88,78,65,9
Suker,88,ST,81,86,86,66,79,76,80,81,82,84,83,85,85,88,84,84,81,89,61,88,64,67,62,82,71,70,86,75,71,83,77,74,77,87,24
Laudrup,88,CF,87,88,83,27,80,65,88,87,85,71,87,88,85,84,83,81,74,80,22,71,19,27,20,84,72,76,84,77,78,65,81,67,42,90,16
Vieri,87,ST,83,78,87,25,63,83,84,82,62,66,77,79,83,90,87,82,81,90,16,90,16,22,14,46,55,58,77,68,57,83,76,87,83,82,24
Inzaghi,87,ST,85,78,84,20,49,55,87,83,77,61,93,82,94,95,75,67,89,84,15,84,11,13,19,47,35,32,65,34,56,74,61,55,43,75,24
Zola,87,CF,85,89,82,32,84,62,88,82,85,88,87,90,87,85,75,81,78,84,22,58,31,35,20,79,82,88,87,83,90,55,74,57,62,90,18
Gattuso,87,CDM,66,65,55,85,72,92,71,61,64,82,91,74,64,45,75,53,58,59,92,45,88,92,84,75,52,35,87,83,39,54,93,94,96,55,3
Crespo,87,ST,87,80,86,25,69,69,86,88,87,82,82,80,86,88,86,81,87,88,20,90,17,19,16,81,77,60,65,52,70,85,77,73,47,78,26
Larsson,87,ST,84,84,85,44,73,67,87,82,89,80,85,84,88,89,82,79,83,78,39,86,43,36,34,83,66,77,73,66,69,82,79,58,70,84,35
Deco,87,CAM,83,88,78,39,89,68,86,81,86,73,85,91,83,76,75,85,75,78,32,62,32,45,36,90,83,84,92,89,86,42,82,65,65,88,13
Pauleta,87,ST,82,78,86,31,72,72,84,81,74,70,85,76,84,89,85,81,89,87,45,88,20,20,11,77,72,84,79,45,72,85,73,74,61,80,23
Brehme,87,LWB,89,75,66,86,82,86,91,88,66,77,78,82,62,42,92,87,61,97,91,76,85,88,88,82,94,81,74,82,88,81,91,85,81,73,11
Paulo Futre,87,LW,84,92,80,28,78,55,88,81,94,91,82,91,81,81,76,80,81,94,21,73,21,24,26,71,83,84,82,72,77,56,69,53,43,94,12
Fowler,86,ST,83,83,82,48,73,76,85,81,82,86,86,80,84,82,84,81,82,85,66,88,27,48,32,81,65,79,75,64,73,80,81,75,69,84,28
Neville,86,RB,80,57,36,84,74,81,79,81,71,80,86,64,45,31,47,28,55,32,87,75,83,85,86,70,87,33,78,71,56,71,88,76,87,44,2
Campbell,86,CB,78,48,35,85,55,86,78,78,50,50,82,55,41,28,62,26,23,37,83,91,88,82,87,51,40,15,74,64,19,81,76,93,84,40,6
Sheringham,86,ST,78,73,86,40,70,72,77,79,54,59,86,76,86,87,88,83,85,86,41,87,34,31,38,68,72,74,72,68,65,86,82,74,52,75,33
Ljungberg,86,RM,85,83,81,38,80,75,84,85,80,73,87,84,87,85,79,78,66,71,34,58,36,39,31,79,79,78,84,75,79,68,86,73,66,84,12
Donovan,86,CF,87,83,84,42,81,67,86,87,82,79,87,85,87,87,82,81,80,86,42,57,41,43,32,83,83,71,85,74,77,64,84,59,66,82,20
Lalas,86,CB,78,62,55,84,72,86,78,78,50,50,82,66,41,35,82,74,38,85,83,88,86,81,85,77,65,56,79,71,52,81,76,93,82,61,4
De Boer,86,CB,66,65,61,88,79,78,65,66,60,61,90,74,61,51,79,63,45,81,94,85,86,87,88,74,72,84,80,87,86,78,84,74,79,59,9
Effenberg,86,CAM,74,80,82,74,82,85,75,74,74,68,88,84,79,78,87,86,77,90,86,77,59,79,78,85,73,73,87,84,76,72,89,85,82,79,10
Valderrama,86,CAM,68,86,72,18,85,48,67,68,80,71,77,90,83,71,70,71,69,83,21,48,13,12,15,91,76,74,88,86,79,30,58,51,33,88,4
